file_name,chunk_name,description,caption,alt_text
,conceptual-model,shortcut to include conceptual model,will be automatically produced,An image of the EBS snow crab conceptual model
,traffic-eco,shortcut to include ecosystem traffic light figure,will be automatically produced,An image of the EBS snow crab Bayesian adaptive sampling model output
,traffic-socio,shortcut to include socioeconomic traffic light figure,will be automatically produced,
,overall,shortcut to include overall traffic score figure,will be automatically produced,
,bayesian,shortcut to include bayesian summary figure,will be automatically produced,
