SOURCE_TARGET_NAME,PRODUCT,REPORT_CARD_TITLE,Intended ESP,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,ORDER,ORDER2
SUM_SNCR_MALE_AREA_OCC_SEBS,Summer_Snow_Crab_Male_Area_Occupied_SEBS_Survey,Calculated as the minimum area containing 95% of the cumulative male snow crab CPUE during the EBS summer bottom trawl survey,BS Snow Crab,2022,2022,NA,NA,1,1,157,9
SUM_SNCR_MALE_CEN_DIST_SEBS,Summer_Snow_Crab_Male_Center_Distribution_SEBS_Survey,CPUE-weighted average latitude of the male snow crab stock during the EBS summer bottom trawl survey,BS Snow Crab,2022,2022,NA,NA,1,1,158,10
SUM_SNCR_CONSUMPTION_PCOD_MODEL,Summer_Snow_Crab_Consumption_Pacific_cod_Model,"The daily summer consumption of snow crab by Pacific cod in the EBS, estimated from Pacific cod diet compositions, EBS trawl survey CPUE, and temperature adjusted length-specific maximum consumption rates",BS Snow Crab,2022,2022,NA,NA,-1,1,159,11
ANN_SNOW_VESS_COUNT_EBS_FISH,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,160,12
ANN_SNOW_CPUE_FISH,Annual_Snow_Crab_CPUE_Fishery,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,161,13
ANN_SNOW_POTLIFT_FISH,Annual_Snow_Crab_Potlift_Fishery,Annual total potlifts in the snow crab fishery to represent the level of fishing effort expended by the active fleet,BS Snow Crab,2022,2022,NA,NA,1,1,162,14
ANN_SNOW_CDIST_EBS_FISH,Annual_Snow_Crab_Center_Distribution_EBS_Fishery,"Center of gravity, expressed in latitude, as an indices of spatial distribution for the snow crab fishery to monitor spatial shifts in fishery behavior",BS Snow Crab,2022,2022,NA,NA,1,1,163,15
ANN_SNOW_INC_EBS_FISH,Annual_Snow_Crab_Incidental_Catch_EBS_Fishery,Annual incidental catch of snow crab in other fisheries,BS Snow Crab,2022,2022,NA,NA,1,1,164,16
ANN_SNOW_EXVES_VAL_EBS_FISH,Annual_Snow_Crab_Exvessel_Value_EBS_Fishery,"Annual snow crab ex-vessel value of the snow crab fishery landings represents gross economic returns to the harvest sector, as a principal driver of fishery behavior",BS Snow Crab,2022,2022,NA,NA,1,1,165,17
ANN_SNOW_EXVES_PRC_EBS_FISH,Annual_Snow_Crab_Exvessel_Price_EBS_Fishery,"Annual snow crab ex-vessel price per pound represents per-unit economic returns to the harvest sector, as a principal driver of fishery behavior",BS Snow Crab,2022,2022,NA,NA,1,1,166,18
ANN_SNOW_EXVES_REVSHR_EBS_FISH,Annual_Snow_Crab_Exvessel_Revenue_Share_EBS_Fishery,"Annual snow crab ex-vessel revenue share, expressed as vessel-average proportion of annual gross landings revenue earned from the EBS snow crab fishery",BS Snow Crab,2022,2022,NA,NA,1,1,167,19
