SOURCE_TARGET_NAME,PRODUCT,REPORT_CARD_TITLE,Intended ESP,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,ORDER,ORDER2
ANN_PCOD_REGQE_HARV_DUT,Annual_Pacific_Cod_RQ_Harvesting_Revenue_Dutch_Harbor_Fishery,Regional quotient of Pacific cod for harvesting revenue of the highly engaged community of Unalaska Dutch Harbor,EBS Pacific Cod,2020,2020,NA,NA,1,1,73,17
ANN_PCOD_REGQE_PROC_DUT,Annual_Pacific_Cod_RQ_Processing_Revenue_Dutch_Harbor_Fishery,Regional quotient of Pacific cod for processing revenue of the highly engaged community of Unalaska Dutch Harbor,EBS Pacific Cod,2020,2020,NA,NA,1,1,74,18
SPW_HEATWAVE_GOA,Spawning_Heatwave_GOA_Model,Spawning marine heatwave cumulative index over the central GOA,GOA Pacific Cod,2020,2020,NA,NA,1,1,75,1
WIN_SPR_PCOD_SPAWN_HABITAT,Winter_Spring_Pacific_Cod_Spawning_Habitat_Suitability_GAK1_Model,Winter spring spawning habitat suitability index from January to April in the central GOA shelf at GAK1 station,GOA Pacific Cod,2020,2020,NA,NA,1,1,76,2
SUM_BTM_TEMP_GOA,Summer_Temperature_Bottom_GOA_Model,Summer bottom temperatures where small Pacific cod (20-40 cm) have been sampled by the AFSC GOA bottom trawl survey from the CFSR dataset,GOA Pacific Cod,2020,2020,NA,NA,1,1,77,3
ANN_EDDY_KE_KOD,Annual_Eddy_Kinetic_Energy_Kodiak_Satellite,Annual eddy kinetic energy (EKE) calculated from sea surface height in the Kodiak area ,GOA Pacific Cod,2020,2020,NA,NA,1,1,78,4
SPR_CHLORO_WCGOA,Spring_Chlorophylla_Peak_WCGOA_Satellite,Peak timing of the spring bloom averaged across individual ADF&G statistical areas in the western and central GOA region from the MODIS satellite,GOA Pacific Cod,2020,2020,NA,NA,1,1,79,5
SUM_LG_COPE_ABUN_SHEL,Summer_Large_Copepod_Abundance_Shelikof_Survey,Summer large copepods for young-of-the-year (YOY) from the EcoFOCI summer survey,GOA Pacific Cod,2020,2020,NA,NA,1,1,80,6
SUM_EUPH_ABUND_KOD,Summer_Euphausiid_Abundance_Kodiak_Survey,Summer euphausiid abundance for the eastern Bering Sea shelf from the AFSC acoustic survey,GOA Pacific Cod,2020,2020,NA,NA,1,1,81,7
SPR_PCOD_CPUE_LARV_SHEL,Spring_Pacific_Cod_CPUE_Larvae_Shelikof_Survey,Spring Pacific cod larvae catch-per-unit-of-effort (CPUE) from the EcoFOCI spring survey,GOA Pacific Cod,2020,2020,NA,NA,1,1,82,8
ANN_MUR_REPR_SUCC_CHOWIET,Annual_Common_Murre_Reproductive_Success_Chowiet_Survey,Common murre (piscivores) reproductive success at Chowiet Island,GOA Pacific Cod,2020,2020,NA,NA,1,1,83,9
SUM_PCOD_CPUE_YOY_KOD,Summer_Pacific_Cod_CPUE_YOY_Nearshore_Kodiak_Survey,Summer Pacific cod catch-per-unit-of-effort (CPUE) of young-of-the-year (YOY) from the AFSC Kodiak beach seine survey,GOA Pacific Cod,2020,2020,2021,NA,1,1,84,10
SUM_PCOD_COND_JUV_GOA,Summer_Pacific_Cod_Condition_Juvenile_GOA_Survey,Summer condition for juvenile (<420 mm) Pacific cod from the AFSC GOA shelf bottom trawl survey,GOA Pacific Cod,2020,2020,NA,NA,1,1,85,11
SUM_PCOD_COND_ADULT_GOA,Summer_Pacific_Cod_Condition_Adult_GOA_Survey,Summer condition for adult (>=420 mm) Pacific cod from the AFSC GOA shelf bottom trawl survey,GOA Pacific Cod,2020,2020,NA,NA,1,1,86,12
SUM_PCOD_CEN_GRAV_WCGOA,Summer_Pacific_Cod_Center_Gravity_Northeast_WCGOA_Model,Summer Pacific cod center of gravity northeastings estimated by a spatio-temporal model using the package VAST on AFSC GOA bottom trawl survey data,GOA Pacific Cod,2020,2020,NA,NA,1,1,87,13
SUM_PCOD_AREA_OCC_WCGOA,Summer_Pacific_Cod_Area_Occupied_WCGOA_Model,Summer Pacific cod area occupied estimated by a spatio-temporal model using the package VAST on AFSC GOA bottom trawl survey data,GOA Pacific Cod,2020,2020,NA,NA,1,1,88,14
ANN_ARTH_BIOM_GOA,Annual_Arrowtooth_Biomass_GOA_Model,Arrowtooth flounder total biomass from the most recent stock assessment model in the GOA,GOA Pacific Cod,2020,2020,NA,NA,1,1,89,15
ANN_SEA_LION_ADULT_GOA,Annual_Steller_Sea_Lion_Adult_GOA_Survey,Steller sea lion non-pup estimates for the GOA portion of the western Distinct Population Segment,GOA Pacific Cod,2020,2020,NA,NA,1,1,90,16
ANN_PCOD_EXVES_VAL_GOA,Annual_Pacific_Cod_Real_Exvessel_Value_GOA_Fishery,Annual estimated real ex-vessel value of GOA Pacific cod,GOA Pacific Cod,2020,2020,NA,NA,1,1,91,17
ANN_PCOD_EXVES_PRC_GOA,Annual_Pacific_Cod_Real_Exvessel_Price_GOA_Fishery,Annual real ex-vessel price per pound of GOA Pacific cod from fish ticket information,GOA Pacific Cod,2020,2020,NA,NA,1,1,92,18
ANN_PCOD_REV_PUE_GOA,Annual_Pacific_Cod_Real_Revenue_Per_Unit_Effort_GOA_Fishery,Annual estimated real revenue per unit effort measured in weeks fished of GOA Pacific cod,GOA Pacific Cod,2020,2020,NA,NA,1,1,93,19
ANN_PCOD_REGQE_HARV_KOD,Annual_Pacific_Cod_RQ_Harvesting_Revenue_Kodiak_Fishery,Regional quotient of Pacific cod for harvesting revenue of the highly engaged community of Kodiak,GOA Pacific Cod,2020,2020,NA,NA,1,1,94,20
ANN_PCOD_REGQE_PROC_KOD,Annual_Pacific_Cod_RQ_Processing_Revenue_Kodiak_Fishery,Regional quotient of Pacific cod for processing revenue of the highly engaged community of Kodiak,GOA Pacific Cod,2020,2020,NA,NA,1,1,95,21
ANN_PCOD_REGQE_HARV_GOA,Annual_Pacific_Cod_RQ_Harvesting_Revenue_Small_Communities_GOA_Fishery,"Regional quotient of Pacific cod for harvesting revenue of three smaller highly engaged communities (Sand Point, King Cove, and Akutan) combined",GOA Pacific Cod,2020,2020,NA,NA,1,1,96,22
ANN_PCOD_REGQE_PROC_GOA,Annual_Pacific_Cod_RQ_Processing_Revenue_Small_Communities_GOA_Fishery,"Regional quotient of Pacific cod for processing revenue of three smaller highly engaged communities (Sand Point, King Cove, and Akutan) combined",GOA Pacific Cod,2020,2020,NA,NA,1,1,97,23
ANN_HEATWAVE_GOA,Annual_Heatwave_GOA_Model,Annual marine heatwave cumulative index over the central GOA,GOA Pollock,2019,2019,NA,NA,-1,1,98,1
SPR_SST_WCGOA,Spring_Temperature_Surface_WCGOA_Satellite,Spring (April-May) daily sea surface temperatures (SST) for the western and central (combined) GOA from the NOAA Coral Reef Watch Program,GOA Pollock,2020,2020,NA,NA,-1,1,99,2
SUM_BTM_TEMP_GOA,Summer_Temperature_Bottom_GOA_Survey,Summer bottom temperatures from the AFSC GOA bottom trawl survey,GOA Pollock,2019,2019,NA,NA,-1,1,100,3
SPR_WIND_DIRECTION_KOD,Spring_Wind_Direction_Kodiak_Buoy,Mean springtime (April-May) surface wind direction from National Data Buoy Center for site B-AMAA2 located in the NE Kodiak Archipelago,GOA Pollock,2020,2020,NA,NA,-1,1,101,4
SPR_CHLORO_BIOM_WCGOA,Spring_Chlorophylla_Biomass_WCGOA_Satellite,Derived chlorophyll a concentration during spring seasonal peak (May) in the western and central GOA regions from the MODIS satellite,GOA Pollock,2019,2019,NA,NA,1,1,102,5
SPR_CHLORO_WCGOA,Spring_Chlorophylla_Peak_WCGOA_Satellite,Peak timing of the spring bloom averaged across individual ADF&G statistical areas in the western and central GOA region from the MODIS satellite,GOA Pollock,2020,2020,NA,NA,1,1,103,6
SPR_SM_COPE_ABUN_SHEL,Spring_Small_Copepod_Abundance_Shelikof_Survey,Spring small copepods for larvae GOA pollock from the EcoFOCI spring survey ,GOA Pollock,2019,2019,NA,NA,1,1,104,7
SUM_LG_COPE_ABUN_SHEL,Summer_Large_Copepod_Abundance_Shelikof_Survey,Summer large copepods for young-of-the-year (YOY) from the EcoFOCI summer survey,GOA Pollock,2019,2019,NA,NA,1,1,105,8
SUM_EUPH_ABUND_KOD,Summer_Euphausiid_Abundance_Kodiak_Survey,Summer euphausiid abundance for the Kodiak core survey area from the AFSC acoustic survey,GOA Pollock,2019,2019,NA,NA,1,1,106,9
ANN_AUK_REPR_SUCC_CHOWIET,Annual_Auklet_Reproductive_Success_Chowiet_Survey,Parakeet auklet (planktivores) reproductive success at Chowiet Island,GOA Pollock,2019,2019,NA,NA,1,1,107,10
SPR_PLCK_CPUE_LARV_SHEL,Spring_Pollock_CPUE_Larvae_Shelikof_Survey,Spring pollock larvae catch-per-unit-of-effort (CPUE) from the EcoFOCI spring survey,GOA Pollock,2019,2019,NA,NA,1,1,108,11
SUM_PLCK_CPUE_YOY_SHEL,Summer_Pollock_CPUE_YOY_Shelikof_Survey,Summer young-of-the-year (YOY) pollock catch-per-unit-of-effort (CPUE) from the EcoFOCI summer survey,GOA Pollock,2019,2019,NA,NA,1,1,109,12
SUM_PLCK_COND_YOY_SHEL,Summer_Pollock_Condition_YOY_Shelikof_Survey,Summer pollock condition for young-of-the-year (YOY) from EcoFOCI summer survey,GOA Pollock,2019,2019,NA,NA,1,1,110,13
SUM_PLCK_CPUE_YOY_KOD,Summer_Pollock_CPUE_YOY_Nearshore_Kodiak_Survey,Summer pollock catch-per-unit-of-effort (CPUE) of young-of-the-year (YOY) from the AFSC beach seine survey in the Kodiak region,GOA Pollock,2019,2019,NA,NA,1,1,111,14
ANN_PLCK_REL_BIOM_AIKTAK,Annual_Pollock_Relative_Biomass_Aiktak_Survey,Pollock relative biomass of young-of-the-year (YOY) from screening burrows of tufted puffins at Aiktak Island,GOA Pollock,2019,2019,NA,NA,1,1,112,15
SUM_PLCK_PRED_GOA,Summer_Pollock_MTConsumed_Age1_GOA_Model,Summer pollock predation mortality for age-1 from RACE and IPHC surveys,GOA Pollock,2019,2019,NA,NA,-1,1,113,16
SUM_PLCK_EUPH_JUV_GOA,Summer_Pollock_Euphausiid_Diet_Juvenile_GOA_Survey,Proportion-by-weight of euphausiids in the diets of juvenile GOA pollock from summer bottom-trawl surveys,GOA Pollock,2019,2019,NA,NA,1,1,114,17
FAL_PLCK_COND_ADULT_GOA,Fall_Pollock_Condition_Adult_GOA_Fishery,Fall pollock condition for adults from the pollock fishery sampled by observers,GOA Pollock,2019,2019,NA,NA,1,1,115,18
WIN_PLCK_CONDITION_GOA,Winter_Pollock_Condition_Adult_GOA_Survey,Winter pollock condition for adults from the late winter AFSC acoustic survey of pre-spawning pollock in the GOA,GOA Pollock,2019,2019,NA,NA,1,1,116,19
SUM_PLCK_CEN_GRAV_WCGOA,Summer_Pollock_Center_Gravity_Northeast_WCGOA_Model,Summer pollock center of gravity northeastings estimated by a spatio-temporal model using the package VAST on AFSC GOA bottom trawl survey data,GOA Pollock,2019,2019,NA,NA,-1,1,117,20
SUM_PLCK_AREA_OCC_WCGOA,Summer_Pollock_Area_Occupied_WCGOA_Model,Summer pollock area occupied estimated by a spatio-temporal model using the package VAST on AFSC GOA bottom trawl survey data,GOA Pollock,2019,2019,NA,NA,1,1,118,21
ANN_ARTH_BIOM_GOA,Annual_Arrowtooth_Biomass_GOA_Model,Arrowtooth flounder total biomass from the most recent stock assessment model in the GOA,GOA Pollock,2019,2019,NA,NA,-1,1,119,22
ANN_POP_BIOM_GOA,Annual_Pacific_Ocean_Perch_Biomass_GOA_Model,Pacific ocean perch total biomass from the most recent stock assessment model in the GOA,GOA Pollock,2019,2019,NA,NA,-1,1,120,23
ANN_SABL_BIOM_GOA,Annual_Sablefish_Biomass_GOA_Model,Sablefish total biomass from the most recent stock assessment model,GOA Pollock,2019,2019,NA,NA,-1,1,121,24
ANN_SEA_LION_ADULT_GOA,Annual_Steller_Sea_Lion_Adult_GOA_Survey,Steller sea lion non-pup estimates for the GOA portion of the western Distinct Population Segment,GOA Pollock,2019,2019,NA,NA,-1,1,122,25
WIN_SPR_PLCK_CPUE_ADULT_GOA,Winter_Spring_Pollock_CPUE_Adult_GOA_Fishery,Winter-spring pollock catch-per-unit-of-effort (CPUE) from fishery observer data,GOA Pollock,2019,2019,NA,NA,1,1,123,26
SUM_FAL_PLCK_CPUE_ADULT_GOA,Summer_Fall_Pollock_CPUE_Adult_GOA_Fishery,Summer-fall pollock catch-per-unit-of-effort (CPUE) from fishery observer data,GOA Pollock,2019,2019,NA,NA,1,1,124,27
ANN_PLCK_ESVES_PRC,Annual_Pollock_Real_Exvessel_Price_Fishery,Annual real ex-vessel price per pound of GOA pollock from fish ticket information,GOA Pollock,2019,2019,NA,NA,1,1,125,28
WIN_SPR_PLCK_ROE_PUE,Winter_Spring_Pollock_Roe_Per_Unit_Catch_Fishery,Annual pollock roe per-unit-catch during January to March,GOA Pollock,2019,2019,NA,NA,1,1,126,29
ANN_PLCK_REGQE_HARV_KOD,Annual_Pollock_RQ_Harvesting_Revenue_Kodiak_Fishery,Regional quotient of pollock for harvesting revenue of the highly engaged community of Kodiak,GOA Pollock,2020,2020,NA,NA,1,1,127,30
ANN_PLCK_REGQE_PROC_KOD,Annual_Pollock_RQ_Processing_Revenue_Kodiak_Fishery,Regional quotient of pollock for processing revenue of the highly engaged community of Kodiak,GOA Pollock,2020,2020,NA,NA,1,1,128,31
ANN_PLCK_REGQE_HARV_GOA,Annual_Pollock_RQ_Harvesting_Revenue_Small_Communities_GOA_Fishery,"Regional quotient of pollock for harvesting revenue of three smaller highly engaged communities (Sand Point, King Cove, and Akutan) combined",GOA Pollock,2020,2020,NA,NA,1,1,129,32
ANN_PLCK_REGQE_PROC_GOA,Annual_Pollock_RQ_Processing_Revenue_Small_Communities_GOA_Fishery,"Regional quotient of pollock for processing revenue of three smaller highly engaged communities (Sand Point, King Cove, and Akutan) combined",GOA Pollock,2020,2020,NA,NA,1,1,130,33
ANN_BKCR_EXVES_PRC_SMBKC,Annual_Blue_King_Crab_Exvessel_Price_SMBKC_Fishery,Annual blue king crab ex-vessel price per pound of the St Matthew Island blue king crab fishery,St. Matthew Blue King Crab,2019,2020,NA,NA,1,1,131,1
ANN_BKCR_EXVES_REVSHR_SMBKC,Annual_Blue_King_Crab_Exvessel_Revenue_Share_SMBKC_Fishery,Annual blue king crab ex-vessel revenue share (expressed as percent of total ex-vessel revenue) of the St Matthew Island blue king crab fishery,St. Matthew Blue King Crab,2019,2020,NA,NA,1,1,132,2
